,n_estimators,max_depth,learning_rate,min_child_weight,gamma,accuracy
141,25,20.0,0.01,4,0.1,0.5035750766087844
142,25,20.0,0.01,4,0.2,0.5107252298263534
143,25,20.0,0.01,4,0.3,0.5097037793667007
144,25,20.0,0.1,1,0.0,0.5066394279877426
145,25,20.0,0.1,1,0.1,0.5127681307456589
146,25,20.0,0.1,1,0.2,0.515832482124617
147,25,20.0,0.1,1,0.3,0.5178753830439223
148,25,20.0,0.1,2,0.0,0.5076608784473953
149,25,20.0,0.1,2,0.1,0.515832482124617
150,25,20.0,0.1,2,0.2,0.5229826353421859
151,25,20.0,0.1,2,0.3,0.5148110316649642
152,25,20.0,0.1,3,0.0,0.5056179775280899
153,25,20.0,0.1,3,0.1,0.5025536261491318
154,25,20.0,0.1,3,0.2,0.49948927477017363
155,25,20.0,0.1,3,0.3,0.5178753830439223
156,25,20.0,0.1,4,0.0,0.5127681307456589
157,25,20.0,0.1,4,0.1,0.5005107252298263
158,25,20.0,0.1,4,0.2,0.4974463738508682
159,25,20.0,0.1,4,0.3,0.49948927477017363
160,25,20.0,0.2,1,0.0,0.508682328907048
161,25,20.0,0.2,1,0.1,0.5127681307456589
162,25,20.0,0.2,1,0.2,0.508682328907048
163,25,20.0,0.2,1,0.3,0.5168539325842697
164,25,20.0,0.2,2,0.0,0.5321756894790602
165,25,20.0,0.2,2,0.1,0.5219611848825332
166,25,20.0,0.2,2,0.2,0.5127681307456589
167,25,20.0,0.2,2,0.3,0.5117466802860061
168,25,20.0,0.2,3,0.0,0.5127681307456589
169,25,20.0,0.2,3,0.1,0.5219611848825332
170,25,20.0,0.2,3,0.2,0.5107252298263534
171,25,20.0,0.2,3,0.3,0.4933605720122574
172,25,20.0,0.2,4,0.0,0.5045965270684372
173,25,20.0,0.2,4,0.1,0.515832482124617
174,25,20.0,0.2,4,0.2,0.5076608784473953
175,25,20.0,0.2,4,0.3,0.5056179775280899
176,25,20.0,0.3,1,0.0,0.5148110316649642
177,25,20.0,0.3,1,0.1,0.5076608784473953
178,25,20.0,0.3,1,0.2,0.5209397344228804
179,25,20.0,0.3,1,0.3,0.5107252298263534
180,25,20.0,0.3,2,0.0,0.5107252298263534
181,25,20.0,0.3,2,0.1,0.515832482124617
182,25,20.0,0.3,2,0.2,0.5291113381001021
183,25,20.0,0.3,2,0.3,0.526046986721144
184,25,20.0,0.3,3,0.0,0.508682328907048
185,25,20.0,0.3,3,0.1,0.5209397344228804
186,25,20.0,0.3,3,0.2,0.5076608784473953
187,25,20.0,0.3,3,0.3,0.4923391215526047
188,25,20.0,0.3,4,0.0,0.5045965270684372
189,25,20.0,0.3,4,0.1,0.5076608784473953
190,25,20.0,0.3,4,0.2,0.5045965270684372
191,25,20.0,0.3,4,0.3,0.4974463738508682
192,25,,0.01,1,0.0,0.5199182839632278
193,25,,0.01,1,0.1,0.5199182839632278
194,25,,0.01,1,0.2,0.5178753830439223
195,25,,0.01,1,0.3,0.5178753830439223
196,25,,0.01,2,0.0,0.5127681307456589
197,25,,0.01,2,0.1,0.5127681307456589
198,25,,0.01,2,0.2,0.5127681307456589
199,25,,0.01,2,0.3,0.5117466802860061
200,25,,0.01,3,0.0,0.5076608784473953
201,25,,0.01,3,0.1,0.5076608784473953
202,25,,0.01,3,0.2,0.5076608784473953
203,25,,0.01,3,0.3,0.5076608784473953
204,25,,0.01,4,0.0,0.5148110316649642
205,25,,0.01,4,0.1,0.5148110316649642
206,25,,0.01,4,0.2,0.5148110316649642
207,25,,0.01,4,0.3,0.5148110316649642
208,25,,0.1,1,0.0,0.5148110316649642
209,25,,0.1,1,0.1,0.515832482124617
210,25,,0.1,1,0.2,0.5137895812053116
211,25,,0.1,1,0.3,0.515832482124617
212,25,,0.1,2,0.0,0.5117466802860061
213,25,,0.1,2,0.1,0.5097037793667007
214,25,,0.1,2,0.2,0.501532175689479
215,25,,0.1,2,0.3,0.5035750766087844
216,25,,0.1,3,0.0,0.5035750766087844
217,25,,0.1,3,0.1,0.5035750766087844
218,25,,0.1,3,0.2,0.5035750766087844
219,25,,0.1,3,0.3,0.5035750766087844
220,25,,0.1,4,0.0,0.48621041879468846
221,25,,0.1,4,0.1,0.48621041879468846
222,25,,0.1,4,0.2,0.4851889683350358
223,25,,0.1,4,0.3,0.4902962206332993
