,n_estimators,max_depth,min_samples_split,max_features,accuracy,precision
94,50,20.0,3,log2,0.49653579676674364,0.5105551211884285
95,50,20.0,3,,0.48729792147806006,0.5027844073190135
96,50,20.0,5,sqrt,0.48914549653579675,0.5042735042735043
97,50,20.0,5,log2,0.4914549653579677,0.506079027355623
98,50,20.0,5,,0.4836027713625866,0.4995857497928749
99,50,20.0,10,sqrt,0.5016166281755197,0.5144157814871017
100,50,20.0,10,log2,0.49468822170900695,0.5091197462331483
101,50,20.0,10,,0.4942263279445728,0.5086342229199372
102,50,20.0,50,sqrt,0.48914549653579675,0.5042081101759756
103,50,20.0,50,log2,0.4863741339491917,0.5019794140934284
104,50,20.0,50,,0.49468822170900695,0.508653122648608
105,50,,2,sqrt,0.497459584295612,0.5123614663256607
106,50,,2,log2,0.4748267898383372,0.49113475177304966
107,50,,2,,0.49330254041570437,0.5084033613445378
108,50,,3,sqrt,0.49376443418013855,0.508235294117647
109,50,,3,log2,0.48267898383371827,0.4987405541561713
110,50,,3,,0.49053117782909933,0.506108202443281
111,50,,5,sqrt,0.492378752886836,0.5069124423963134
112,50,,5,log2,0.49884526558891457,0.5136286201022147
113,50,,5,,0.48729792147806006,0.5027977617905676
114,50,,10,sqrt,0.4997690531177829,0.5132398753894081
115,50,,10,log2,0.49884526558891457,0.5129659643435981
116,50,,10,,0.4896073903002309,0.5051457975986278
117,50,,50,sqrt,0.48729792147806006,0.5026455026455027
118,50,,50,log2,0.4928406466512702,0.507533703409992
119,50,,50,,0.4886836027713626,0.5038699690402477
120,100,10.0,2,sqrt,0.5030023094688222,0.5141087405368203
121,100,10.0,2,log2,0.48175519630484986,0.49828178694158076
122,100,10.0,2,,0.49930715935334874,0.5124905374716124
123,100,10.0,3,sqrt,0.49792147806004616,0.5103591160220995
124,100,10.0,3,log2,0.49884526558891457,0.5113154172560113
125,100,10.0,3,,0.5016166281755197,0.5134560906515581
126,100,10.0,5,sqrt,0.5002309468822171,0.5121443442054129
127,100,10.0,5,log2,0.49884526558891457,0.5112201963534362
128,100,10.0,5,,0.4909930715935335,0.5054151624548736
129,100,10.0,10,sqrt,0.49376443418013855,0.5069860279441117
130,100,10.0,10,log2,0.48729792147806006,0.5024492652204339
131,100,10.0,10,,0.5048498845265589,0.5157452764170749
132,100,10.0,50,sqrt,0.4762124711316397,0.49395017793594304
133,100,10.0,50,log2,0.4900692840646651,0.5046197583511016
134,100,10.0,50,,0.49191685912240185,0.50580997949419
135,100,15.0,2,sqrt,0.49330254041570437,0.5072254335260116
136,100,15.0,2,log2,0.49653579676674364,0.5103289977046672
137,100,15.0,2,,0.4882217090069284,0.5035913806863528
138,100,15.0,3,sqrt,0.497459584295612,0.5108940646130729
139,100,15.0,3,log2,0.5002309468822171,0.5138121546961326
140,100,15.0,3,,0.4983833718244804,0.5120999219359875
141,100,15.0,5,sqrt,0.4859122401847575,0.5014925373134328
142,100,15.0,5,log2,0.5002309468822171,0.5135344160866203
143,100,15.0,5,,0.5030023094688222,0.5162569389373514
144,100,15.0,10,sqrt,0.48914549653579675,0.5041698256254739
145,100,15.0,10,log2,0.49191685912240185,0.5065535851966075
146,100,15.0,10,,0.49884526558891457,0.512779552715655
147,100,15.0,50,sqrt,0.4900692840646651,0.5048041389504804
148,100,15.0,50,log2,0.4863741339491917,0.5018925056775171
149,100,15.0,50,,0.49376443418013855,0.5077490774907749
150,100,20.0,2,sqrt,0.48775981524249423,0.5031496062992126
151,100,20.0,2,log2,0.5006928406466513,0.5142857142857142
152,100,20.0,2,,0.5002309468822171,0.5139442231075697
153,100,20.0,3,sqrt,0.49330254041570437,0.5079113924050633
154,100,20.0,3,log2,0.4997690531177829,0.5133228840125392
155,100,20.0,3,,0.49468822170900695,0.509704641350211
156,100,20.0,5,sqrt,0.49653579676674364,0.5110565110565111
157,100,20.0,5,log2,0.49884526558891457,0.5129659643435981
158,100,20.0,5,,0.49653579676674364,0.5113160100586757
159,100,20.0,10,sqrt,0.4942263279445728,0.50859375
160,100,20.0,10,log2,0.4956120092378753,0.509534706331045
161,100,20.0,10,,0.492378752886836,0.5074257425742574
162,100,20.0,50,sqrt,0.4956120092378753,0.5087719298245614
